GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
"G49987","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lincolnton, NC Urban Cluster","49987",,,,,,,,,,,"Lincolnton, NC Urban Cluster",20112,16371,2137,18,137,0,886,563,111,452,"Lincolnton, NC Urban Cluster",990,969,415,25,85,127,325,289,136,254
"G50014","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lindale--Hideaway, TX Urban Cluster","50014",,,,,,,,,,,"Lindale, TX Urban Cluster",7075,6673,74,27,102,0,77,122,0,122,"Lindale, TX Urban Cluster",511,539,73,27,136,127,67,103,127,103
"G50041","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lindsay, CA Urban Cluster","50041",,,,,,,,,,,"Lindsay, CA Urban Cluster",14054,11110,24,46,134,0,2416,324,163,161,"Lindsay, CA Urban Cluster",736,918,29,61,91,132,579,193,115,146
"G50068","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lindsay, OK Urban Cluster","50068",,,,,,,,,,,"Lindsay, OK Urban Cluster",2824,2201,0,374,0,0,0,249,0,249,"Lindsay, OK Urban Cluster",35,180,109,167,109,109,109,142,109,142
"G50095","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lindsborg, KS Urban Cluster","50095",,,,,,,,,,,"Lindsborg, KS Urban Cluster",3054,2976,26,36,10,0,0,6,0,6,"Lindsborg, KS Urban Cluster",198,218,30,60,18,109,109,12,109,12
"G50122","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lindstrom--Chisago City, MN Urban Cluster","50122",,,,,,,,,,,"Lindstrom--Chisago City, MN Urban Cluster",6925,6860,0,5,10,0,0,50,0,50,"Lindstrom--Chisago City, MN Urban Cluster",565,565,93,9,11,93,93,35,93,35
"G50149","2006-2010",,,,,,,,,,,,,,,,,,,,,"Linton, IN Urban Cluster","50149",,,,,,,,,,,"Linton, IN Urban Cluster",5976,5797,84,12,13,0,0,70,0,70,"Linton, IN Urban Cluster",205,205,94,21,22,119,119,79,119,79
"G50176","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lisbon, OH Urban Cluster","50176",,,,,,,,,,,"Lisbon, OH Urban Cluster",4878,3715,870,26,18,0,190,59,34,25,"Lisbon, OH Urban Cluster",235,205,92,25,20,119,59,44,41,24
"G50203","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lisbon Falls, ME Urban Cluster","50203",,,,,,,,,,,"Lisbon Falls, ME Urban Cluster",7611,7321,2,0,50,0,38,200,0,200,"Lisbon Falls, ME Urban Cluster",367,371,5,104,46,104,52,109,104,109
"G50230","2006-2010",,,,,,,,,,,,,,,,,,,,,"Litchfield, IL Urban Cluster","50230",,,,,,,,,,,"Litchfield, IL Urban Cluster",6606,6394,41,33,19,0,56,63,27,36,"Litchfield, IL Urban Cluster",277,283,79,37,32,119,46,51,31,48
"G50257","2006-2010",,,,,,,,,,,,,,,,,,,,,"Litchfield, MN Urban Cluster","50257",,,,,,,,,,,"Litchfield, MN Urban Cluster",6547,6416,26,30,0,29,21,25,0,25,"Litchfield, MN Urban Cluster",108,114,35,31,93,38,21,33,93,33
"G50284","2006-2010",,,,,,,,,,,,,,,,,,,,,"Little Elm, TX Urban Cluster","50284",,,,,,,,,,,"Little Elm, TX Urban Cluster",10894,8158,1154,11,565,4,776,226,39,187,"Little Elm, TX Urban Cluster",876,808,329,15,346,8,413,110,38,105
"G50311","2006-2010",,,,,,,,,,,,,,,,,,,,,"Little Falls, MN Urban Cluster","50311",,,,,,,,,,,"Little Falls, MN Urban Cluster",9294,8984,0,29,74,0,22,185,18,167,"Little Falls, MN Urban Cluster",184,213,93,42,59,93,22,87,29,84
"G50338","2006-2010",,,,,,,,,,,,,,,,,,,,,"Little Falls, NY Urban Cluster","50338",,,,,,,,,,,"Little Falls, NY Urban Cluster",4868,4769,36,0,4,0,23,36,0,36,"Little Falls, NY Urban Cluster",64,86,58,123,9,123,38,43,123,43
"G50365","2006-2010",,,,,,,,,,,,,,,,,,,,,"Littlefield, TX Urban Cluster","50365",,,,,,,,,,,"Littlefield, TX Urban Cluster",5941,5086,444,47,0,0,314,50,35,15,"Littlefield, TX Urban Cluster",275,332,160,57,127,127,147,60,54,24
"G50392","2006-2010",,,,,,,,,,,,,,,,,,,,,"Little Rock, AR Urbanized Area","50392",,,,,,,,,,,"Little Rock, AR Urbanized Area",366394,226685,120553,1207,6642,49,5494,5764,548,5216,"Little Rock, AR Urbanized Area",2186,2154,1751,276,414,39,1047,724,205,680
"G50419","2006-2010",,,,,,,,,,,,,,,,,,,,,"Littlestown, PA Urban Cluster","50419",,,,,,,,,,,"Littlestown, PA Urban Cluster",5553,5322,57,61,49,0,15,49,0,49,"Littlestown, PA Urban Cluster",156,208,59,64,44,109,23,50,109,50
"G50446","2006-2010",,,,,,,,,,,,,,,,,,,,,"Littleton, NH Urban Cluster","50446",,,,,,,,,,,"Littleton, NH Urban Cluster",3739,3622,0,0,35,0,20,62,0,62,"Littleton, NH Urban Cluster",382,405,114,114,60,114,23,74,114,74
"G50473","2006-2010",,,,,,,,,,,,,,,,,,,,,"Live Oak (Sutter County), CA Urban Cluster","50473",,,,,,,,,,,"Live Oak (Sutter County), CA Urban Cluster",8240,5064,62,81,549,43,1883,558,235,323,"Live Oak (Sutter County), CA Urban Cluster",376,609,74,64,282,38,511,309,224,167
"G50500","2006-2010",,,,,,,,,,,,,,,,,,,,,"Live Oak, FL Urban Cluster","50500",,,,,,,,,,,"Live Oak, FL Urban Cluster",6877,3779,2759,0,0,0,180,159,18,141,"Live Oak, FL Urban Cluster",196,419,397,136,136,136,185,127,28,122
