GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
"G00037","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abbeville, LA Urban Cluster","00037",,,,,,,,,,,"Abbeville, LA Urban Cluster",17439,10740,5302,11,804,0,219,363,20,343,"Abbeville, LA Urban Cluster",800,701,415,21,232,123,232,246,33,242
"G00064","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abbeville, SC Urban Cluster","00064",,,,,,,,,,,"Abbeville, SC Urban Cluster",5288,2378,2805,0,31,0,0,74,0,74,"Abbeville, SC Urban Cluster",159,330,319,132,37,132,132,66,132,66
"G00091","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abbotsford, WI Urban Cluster","00091",,,,,,,,,,,"Abbotsford, WI Urban Cluster",3210,3166,5,6,4,0,7,22,9,13,"Abbotsford, WI Urban Cluster",320,315,6,7,5,99,10,21,14,17
"G00118","2006-2010",,,,,,,,,,,,,,,,,,,,,"Aberdeen, MS Urban Cluster","00118",,,,,,,,,,,"Aberdeen, MS Urban Cluster",5446,1667,3749,0,0,0,0,30,0,30,"Aberdeen, MS Urban Cluster",424,282,373,127,127,127,127,34,127,34
"G00145","2006-2010",,,,,,,,,,,,,,,,,,,,,"Aberdeen, SD Urban Cluster","00145",,,,,,,,,,,"Aberdeen, SD Urban Cluster",25059,23304,118,945,199,0,0,493,0,493,"Aberdeen, SD Urban Cluster",245,333,98,270,115,99,99,208,99,208
"G00172","2006-2010",,,,,,,,,,,,,,,,,,,,,"Aberdeen, WA Urban Cluster","00172",,,,,,,,,,,"Aberdeen, WA Urban Cluster",26460,22424,124,1030,315,36,1135,1396,187,1209,"Aberdeen, WA Urban Cluster",364,598,94,274,140,41,368,357,138,323
"G00199","2006-2010",,,,,,,,,,,,,,,,,,,,,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area","00199",,,,,,,,,,,"Aberdeen--Havre de Grace--Bel Air, MD Urbanized Area",188620,150843,26508,562,4531,15,2454,3707,587,3120,"Aberdeen--Havre de Grace--Bel Air, MD Urbanized Area",1689,1740,1009,235,449,25,726,528,199,527
"G00226","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abernathy, TX Urban Cluster","00226",,,,,,,,,,,"Abernathy, TX Urban Cluster",2584,2023,116,22,0,0,231,192,90,102,"Abernathy, TX Urban Cluster",494,398,118,36,127,127,123,130,89,93
"G00253","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abilene, KS Urban Cluster","00253",,,,,,,,,,,"Abilene, KS Urban Cluster",6756,6295,13,71,13,0,34,330,43,287,"Abilene, KS Urban Cluster",174,205,26,72,13,109,38,132,41,131
"G00280","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abilene, TX Urbanized Area","00280",,,,,,,,,,,"Abilene, TX Urbanized Area",103340,81142,8900,675,1300,98,8522,2703,863,1840,"Abilene, TX Urbanized Area",842,1378,503,179,327,71,1172,572,377,419
"G00307","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abilene North (Robertson Unit), TX Urban Cluster","00307",,,,,,,,,,,"Abilene North (Robertson Unit), TX Urban Cluster",0,0,0,0,0,0,0,0,0,0,"Abilene North (Robertson Unit), TX Urban Cluster",127,127,127,127,127,127,127,127,127,127
"G00334","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abingdon, IL Urban Cluster","00334",,,,,,,,,,,"Abingdon, IL Urban Cluster",3497,3358,74,18,0,0,0,47,0,47,"Abingdon, IL Urban Cluster",219,242,62,29,119,119,119,65,119,65
"G00361","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abingdon, VA Urban Cluster","00361",,,,,,,,,,,"Abingdon, VA Urban Cluster",13261,12534,370,0,96,0,159,102,0,102,"Abingdon, VA Urban Cluster",551,617,135,127,73,127,199,78,127,78
"G00388","2006-2010",,,,,,,,,,,,,,,,,,,,,"Ada, OH Urban Cluster","00388",,,,,,,,,,,"Ada, OH Urban Cluster",6078,5839,47,0,94,33,15,50,1,49,"Ada, OH Urban Cluster",327,345,49,119,43,47,25,53,6,52
"G00415","2006-2010",,,,,,,,,,,,,,,,,,,,,"Ada, OK Urban Cluster","00415",,,,,,,,,,,"Ada, OK Urban Cluster",16463,11816,302,1921,51,0,41,2332,71,2261,"Ada, OK Urban Cluster",458,476,120,269,50,109,38,416,67,419
"G00442","2006-2010",,,,,,,,,,,,,,,,,,,,,"Adairsville, GA Urban Cluster","00442",,,,,,,,,,,"Adairsville, GA Urban Cluster",3216,2216,778,0,6,0,168,48,0,48,"Adairsville, GA Urban Cluster",524,522,388,132,10,132,252,78,132,78
"G00469","2006-2010",,,,,,,,,,,,,,,,,,,,,"Adel, GA Urban Cluster","00469",,,,,,,,,,,"Adel, GA Urban Cluster",7418,3133,3664,89,0,0,461,71,0,71,"Adel, GA Urban Cluster",586,491,288,119,132,132,148,70,132,70
"G00496","2006-2010",,,,,,,,,,,,,,,,,,,,,"Adel, IA Urban Cluster","00496",,,,,,,,,,,"Adel, IA Urban Cluster",2874,2723,51,0,45,0,0,55,0,55,"Adel, IA Urban Cluster",173,191,66,99,59,99,99,62,99,62
"G00523","2006-2010",,,,,,,,,,,,,,,,,,,,,"Adelanto, CA Urban Cluster","00523",,,,,,,,,,,"Adelanto, CA Urban Cluster",10909,6781,1722,51,307,28,1147,873,95,778,"Adelanto, CA Urban Cluster",1100,994,469,61,197,27,390,799,92,728
"G00577","2006-2010",,,,,,,,,,,,,,,,,,,,,"Adrian, MI Urban Cluster","00577",,,,,,,,,,,"Adrian, MI Urban Cluster",40613,35771,1976,405,188,28,1328,917,334,583,"Adrian, MI Urban Cluster",854,935,326,177,101,42,365,280,149,220
"G00658","2006-2010",,,,,,,,,,,,,,,,,,,,,"Ahoskie, NC Urban Cluster","00658",,,,,,,,,,,"Ahoskie, NC Urban Cluster",4577,1311,3008,91,32,1,27,107,2,105,"Ahoskie, NC Urban Cluster",152,189,231,46,27,3,29,59,3,59
"G00685","2006-2010",,,,,,,,,,,,,,,,,,,,,"Airway Heights, WA Urban Cluster","00685",,,,,,,,,,,"Airway Heights, WA Urban Cluster",12570,9064,1269,390,512,100,532,703,36,667,"Airway Heights, WA Urban Cluster",1784,650,1158,241,257,91,237,318,33,314
"G00712","2006-2010",,,,,,,,,,,,,,,,,,,,,"Ajo, AZ Urban Cluster","00712",,,,,,,,,,,"Ajo, AZ Urban Cluster",2750,1704,59,343,94,0,393,157,52,105,"Ajo, AZ Urban Cluster",572,270,62,333,109,132,215,130,72,100
"G00739","2006-2010",,,,,,,,,,,,,,,,,,,,,"Akron, NY Urban Cluster","00739",,,,,,,,,,,"Akron, NY Urban Cluster",2966,2713,18,192,23,0,20,0,0,0,"Akron, NY Urban Cluster",59,163,30,151,20,123,31,123,123,123
"G00766","2006-2010",,,,,,,,,,,,,,,,,,,,,"Akron, OH Urbanized Area","00766",,,,,,,,,,,"Akron, OH Urbanized Area",564553,466046,75347,753,9312,88,2885,10122,444,9678,"Akron, OH Urbanized Area",1716,2243,1130,268,809,82,620,910,171,887
"G00793","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alachua, FL Urban Cluster","00793",,,,,,,,,,,"Alachua, FL Urban Cluster",3802,1695,1895,43,22,0,104,43,0,43,"Alachua, FL Urban Cluster",566,444,701,36,36,136,142,70,136,70
"G00820","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alamogordo, NM Urban Cluster","00820",,,,,,,,,,,"Alamogordo, NM Urban Cluster",30803,25223,1644,293,725,97,1947,874,201,673,"Alamogordo, NM Urban Cluster",546,711,241,183,158,61,445,278,110,257
"G00847","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alamosa, CO Urban Cluster","00847",,,,,,,,,,,"Alamosa, CO Urban Cluster",9861,7798,91,69,48,12,1154,689,171,518,"Alamosa, CO Urban Cluster",316,515,75,88,42,23,290,226,136,196
"G00901","2006-2010",,,,,,,,,,,,,,,,,,,,,"Albany, GA Urbanized Area","00901",,,,,,,,,,,"Albany, GA Urbanized Area",95073,32584,59587,253,788,0,696,1165,127,1038,"Albany, GA Urbanized Area",1132,1045,710,118,134,132,323,306,112,299
"G00928","2006-2010",,,,,,,,,,,,,,,,,,,,,"Albany, NY Urbanized Area","00928",,,,,,,,,,,"Albany, NY Urbanized Area",581246,469253,59666,1846,23311,481,11916,14773,1858,12915,"Albany, NY Urbanized Area",1754,2230,1125,264,672,66,1153,1253,395,1173
"G00955","2006-2010",,,,,,,,,,,,,,,,,,,,,"Albany, OR Urbanized Area","00955",,,,,,,,,,,"Albany, OR Urban Cluster",48132,42758,403,847,546,188,1792,1598,220,1378,"Albany, OR Urban Cluster",559,770,196,253,182,105,559,348,148,305
"G00982","2006-2010",,,,,,,,,,,,,,,,,,,,,"Albemarle, NC Urban Cluster","00982",,,,,,,,,,,"Albemarle, NC Urban Cluster",15779,11004,3820,18,545,0,225,167,0,167,"Albemarle, NC Urban Cluster",412,583,353,22,308,127,170,107,127,107
"G01009","2006-2010",,,,,,,,,,,,,,,,,,,,,"Albert Lea, MN Urban Cluster","01009",,,,,,,,,,,"Albert Lea, MN Urban Cluster",17580,16523,217,90,220,0,363,167,15,152,"Albert Lea, MN Urban Cluster",149,246,115,35,52,93,159,108,24,103
"G01036","2006-2010",,,,,,,,,,,,,,,,,,,,,"Albertville, AL Urban Cluster","01036",,,,,,,,,,,"Albertville, AL Urban Cluster",31633,28594,1071,106,305,35,986,536,68,468,"Albertville, AL Urban Cluster",1046,1074,238,71,145,57,399,211,62,186
"G01063","2006-2010",,,,,,,,,,,,,,,,,,,,,"Albia, IA Urban Cluster","01063",,,,,,,,,,,"Albia, IA Urban Cluster",3640,3441,31,116,52,0,0,0,0,0,"Albia, IA Urban Cluster",97,120,47,96,76,99,99,99,99,99
"G01090","2006-2010",,,,,,,,,,,,,,,,,,,,,"Albion, MI Urban Cluster","01090",,,,,,,,,,,"Albion, MI Urban Cluster",9318,6139,2864,10,37,0,77,191,18,173,"Albion, MI Urban Cluster",177,363,332,15,31,109,74,116,29,110
"G01117","2006-2010",,,,,,,,,,,,,,,,,,,,,"Albion, NY Urban Cluster","01117",,,,,,,,,,,"Albion, NY Urban Cluster",5991,5286,412,31,86,0,32,144,30,114,"Albion, NY Urban Cluster",234,287,185,23,48,123,41,70,39,86
"G01144","2006-2010",,,,,,,,,,,,,,,,,,,,,"Albion, PA Urban Cluster","01144",,,,,,,,,,,"Albion, PA Urban Cluster",4423,3161,1155,0,11,0,52,44,19,25,"Albion, PA Urban Cluster",204,196,128,109,12,109,27,21,16,14
"G01171","2006-2010",,,,,,,,,,,,,,,,,,,,,"Albuquerque, NM Urbanized Area","01171",,,,,,,,,,,"Albuquerque, NM Urbanized Area",690989,484021,19661,31341,15792,413,115174,24587,11073,13514,"Albuquerque, NM Urbanized Area",1808,3679,798,1241,574,134,3638,1552,968,1138
"G01198","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alderson, WV Urban Cluster","01198",,,,,,,,,,,"Alderson, WV Urban Cluster",1198,1080,83,19,0,0,0,16,0,16,"Alderson, WV Urban Cluster",335,289,96,27,119,119,119,21,119,21
"G01225","2006-2010",,,,,,,,,,,,,,,,,,,,,"Aledo, IL Urban Cluster","01225",,,,,,,,,,,"Aledo, IL Urban Cluster",3620,3520,27,4,0,13,50,6,0,6,"Aledo, IL Urban Cluster",225,231,36,8,119,22,65,9,119,9
"G01252","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alexander City, AL Urban Cluster","01252",,,,,,,,,,,"Alexander City, AL Urban Cluster",9701,5569,3983,0,0,0,52,97,59,38,"Alexander City, AL Urban Cluster",726,666,554,119,119,119,131,106,99,37
"G01279","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alexandria, LA Urbanized Area","01279",,,,,,,,,,,"Alexandria, LA Urbanized Area",76547,38427,35395,301,1026,33,333,1032,119,913,"Alexandria, LA Urbanized Area",1109,965,791,126,216,40,152,376,102,372
"G01306","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alexandria, MN Urban Cluster","01306",,,,,,,,,,,"Alexandria, MN Urban Cluster",13685,13210,217,85,96,0,0,77,0,77,"Alexandria, MN Urban Cluster",497,496,115,52,57,93,93,55,93,55
"G01333","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alfred, NY Urban Cluster","01333",,,,,,,,,,,"Alfred, NY Urban Cluster",2948,2492,212,10,165,12,31,26,12,14,"Alfred, NY Urban Cluster",362,329,103,17,69,20,31,31,20,23
"G01360","2006-2010",,,,,,,,,,,,,,,,,,,,,"Algoma, WI Urban Cluster","01360",,,,,,,,,,,"Algoma, WI Urban Cluster",3354,3245,0,0,0,0,34,75,0,75,"Algoma, WI Urban Cluster",54,116,99,99,99,99,50,84,99,84
"G01387","2006-2010",,,,,,,,,,,,,,,,,,,,,"Algona, IA Urban Cluster","01387",,,,,,,,,,,"Algona, IA Urban Cluster",5726,5659,0,0,40,0,0,27,0,27,"Algona, IA Urban Cluster",181,184,99,99,56,99,99,30,99,30
"G01414","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alice, TX Urban Cluster","01414",,,,,,,,,,,"Alice, TX Urban Cluster",21032,18593,156,104,47,0,1789,343,265,78,"Alice, TX Urban Cluster",636,726,111,86,59,127,500,197,191,60
"G01441","2006-2010",,,,,,,,,,,,,,,,,,,,,"Allegan, MI Urban Cluster","01441",,,,,,,,,,,"Allegan, MI Urban Cluster",6528,6082,172,35,59,0,143,37,11,26,"Allegan, MI Urban Cluster",336,422,132,29,47,109,191,59,19,41
"G01468","2006-2010",,,,,,,,,,,,,,,,,,,,,"Allendale, SC Urban Cluster","01468",,,,,,,,,,,"Allendale, SC Urban Cluster",3075,420,2645,0,0,0,10,0,0,0,"Allendale, SC Urban Cluster",347,170,383,132,132,132,28,132,132,132
"G01495","2006-2010",,,,,,,,,,,,,,,,,,,,,"Allentown, PA--NJ Urbanized Area","01495",,,,,,,,,,,"Allentown--Bethlehem, PA--NJ Urbanized Area",622344,520110,33592,1238,16204,209,37519,13472,3056,10416,"Allentown--Bethlehem, PA--NJ Urbanized Area",1953,3088,1296,314,657,157,2330,1123,569,969
"G01522","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alliance, NE Urban Cluster","01522",,,,,,,,,,,"Alliance, NE Urban Cluster",8409,7249,28,326,32,0,555,219,41,178,"Alliance, NE Urban Cluster",86,276,43,145,33,99,241,152,70,125
"G01549","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alliance, OH Urban Cluster","01549",,,,,,,,,,,"Alliance, OH Urban Cluster",32676,29196,2226,20,396,0,65,773,20,753,"Alliance, OH Urban Cluster",416,657,350,24,186,119,45,273,23,272
"G01576","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alma, AR Urban Cluster","01576",,,,,,,,,,,"Alma, AR Urban Cluster",4683,4312,150,55,0,0,0,166,0,166,"Alma, AR Urban Cluster",326,378,127,60,119,119,119,154,119,154
"G01603","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alma, GA Urban Cluster","01603",,,,,,,,,,,"Alma, GA Urban Cluster",3063,1765,1179,0,0,0,119,0,0,0,"Alma, GA Urban Cluster",456,309,314,132,132,132,199,132,132,132
"G01630","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alma--St. Louis, MI Urban Cluster","01630",,,,,,,,,,,"Alma, MI Urban Cluster",17181,14902,926,289,153,10,126,775,37,738,"Alma, MI Urban Cluster",332,473,173,205,39,17,86,474,40,475
"G01657","2006-2010",,,,,,,,,,,,,,,,,,,,,"Almont, MI Urban Cluster","01657",,,,,,,,,,,"Almont, MI Urban Cluster",2847,2698,0,5,0,0,79,65,0,65,"Almont, MI Urban Cluster",66,132,109,8,109,109,90,79,109,79
"G01684","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alpena, MI Urban Cluster","01684",,,,,,,,,,,"Alpena, MI Urban Cluster",13972,13485,128,57,68,0,18,216,13,203,"Alpena, MI Urban Cluster",343,357,37,58,62,109,23,79,14,78
"G01711","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alpine, TX Urban Cluster","01711",,,,,,,,,,,"Alpine, TX Urban Cluster",5831,4645,58,165,20,0,870,73,15,58,"Alpine, TX Urban Cluster",162,390,53,152,36,127,370,70,26,63
"G01738","2006-2010",,,,,,,,,,,,,,,,,,,,,"Altavista, VA Urban Cluster","01738",,,,,,,,,,,"Altavista, VA Urban Cluster",4735,3236,1260,0,18,0,32,189,0,189,"Altavista, VA Urban Cluster",285,357,299,127,27,127,51,140,127,140
"G01765","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alton, IL--MO Urbanized Area","01765",,,,,,,,,,,"Alton, IL Urbanized Area",82275,71904,8084,215,285,12,418,1357,284,1073,"Alton, IL Urbanized Area",663,976,617,130,104,20,229,333,177,274
"G01792","2006-2010",,,,,,,,,,,,,,,,,,,,,"Altoona, PA Urbanized Area","01792",,,,,,,,,,,"Altoona, PA Urbanized Area",78722,75103,1922,44,552,9,252,840,83,757,"Altoona, PA Urbanized Area",940,979,217,40,131,14,137,209,77,192
"G01819","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alturas, CA Urban Cluster","01819",,,,,,,,,,,"Alturas, CA Urban Cluster",2662,2295,41,114,78,7,119,8,8,0,"Alturas, CA Urban Cluster",242,239,49,96,63,12,96,13,13,132
"G01846","2006-2010",,,,,,,,,,,,,,,,,,,,,"Altus, OK Urban Cluster","01846",,,,,,,,,,,"Altus, OK Urban Cluster",18971,14209,1797,153,185,22,1450,1155,215,940,"Altus, OK Urban Cluster",266,443,166,73,68,32,407,231,118,249
"G01873","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alva, OK Urban Cluster","01873",,,,,,,,,,,"Alva, OK Urban Cluster",5731,4999,284,131,32,0,94,191,19,172,"Alva, OK Urban Cluster",207,216,39,45,32,109,88,66,16,65
"G01900","2006-2010",,,,,,,,,,,,,,,,,,,,,"Alvarado, TX Urban Cluster","01900",,,,,,,,,,,"Alvarado, TX Urban Cluster",3757,3227,205,0,32,0,194,99,57,42,"Alvarado, TX Urban Cluster",446,501,210,127,53,127,180,69,56,42
"G01927","2006-2010",,,,,,,,,,,,,,,,,,,,,"Amarillo, TX Urbanized Area","01927",,,,,,,,,,,"Amarillo, TX Urbanized Area",184729,145156,13626,1272,5059,129,14246,5241,2087,3154,"Amarillo, TX Urbanized Area",928,2012,450,254,441,139,1517,657,434,499
"G01954","2006-2010",,,,,,,,,,,,,,,,,,,,,"Amboy, IL Urban Cluster","01954",,,,,,,,,,,"Amboy, IL Urban Cluster",2378,2346,0,0,0,0,0,32,0,32,"Amboy, IL Urban Cluster",255,254,119,119,119,119,119,37,119,37
"G01981","2006-2010",,,,,,,,,,,,,,,,,,,,,"American Falls, ID Urban Cluster","01981",,,,,,,,,,,"American Falls, ID Urban Cluster",4241,3742,16,104,0,0,291,88,53,35,"American Falls, ID Urban Cluster",52,286,26,102,119,119,258,91,75,48
"G02008","2006-2010",,,,,,,,,,,,,,,,,,,,,"Americus, GA Urban Cluster","02008",,,,,,,,,,,"Americus, GA Urban Cluster",18466,6368,11535,88,152,0,123,200,0,200,"Americus, GA Urban Cluster",467,472,608,78,85,132,117,130,132,130
"G02035","2006-2010",,,,,,,,,,,,,,,,,,,,,"Amery, WI Urban Cluster","02035",,,,,,,,,,,"Amery, WI Urban Cluster",2938,2811,9,46,0,0,12,60,13,47,"Amery, WI Urban Cluster",78,105,12,36,99,99,16,43,18,39
"G02062","2006-2010",,,,,,,,,,,,,,,,,,,,,"Ames, IA Urbanized Area","02062",,,,,,,,,,,"Ames, IA Urbanized Area",54738,46781,2064,42,4731,0,603,517,42,475,"Ames, IA Urbanized Area",364,468,193,30,254,99,198,186,35,181
"G02089","2006-2010",,,,,,,,,,,,,,,,,,,,,"Amherst, MA Urban Cluster","02089",,,,,,,,,,,"Amherst, MA Urban Cluster",42463,34223,1847,74,4100,0,1129,1090,236,854,"Amherst, MA Urban Cluster",748,766,292,63,393,127,384,264,145,201
"G02116","2006-2010",,,,,,,,,,,,,,,,,,,,,"Amite City, LA Urban Cluster","02116",,,,,,,,,,,"Amite City, LA Urban Cluster",6038,2138,3844,49,0,0,0,7,0,7,"Amite City, LA Urban Cluster",476,404,557,70,123,123,123,11,123,11
"G02143","2006-2010",,,,,,,,,,,,,,,,,,,,,"Amory, MS Urban Cluster","02143",,,,,,,,,,,"Amory, MS Urban Cluster",6805,4652,2006,12,0,0,0,135,0,135,"Amory, MS Urban Cluster",256,343,314,19,127,127,127,141,127,141
"G02170","2006-2010",,,,,,,,,,,,,,,,,,,,,"Amsterdam, NY Urban Cluster","02170",,,,,,,,,,,"Amsterdam, NY Urban Cluster",22218,18959,566,89,167,0,1860,577,183,394,"Amsterdam, NY Urban Cluster",406,579,162,60,71,123,440,220,124,183
"G02197","2006-2010",,,,,,,,,,,,,,,,,,,,,"Anaconda-Deer Lodge County, MT Urban Cluster","02197",,,,,,,,,,,"Anaconda-Deer Lodge County, MT Urban Cluster",5684,5394,41,71,8,0,37,133,13,120,"Anaconda-Deer Lodge County, MT Urban Cluster",821,714,57,86,16,104,41,123,24,112
"G02224","2006-2010",,,,,,,,,,,,,,,,,,,,,"Anacortes, WA Urban Cluster","02224",,,,,,,,,,,"Anacortes, WA Urban Cluster",16053,14712,254,151,404,39,42,451,32,419,"Anacortes, WA Urban Cluster",123,235,117,46,120,28,24,113,25,108
"G02251","2006-2010",,,,,,,,,,,,,,,,,,,,,"Anadarko, OK Urban Cluster","02251",,,,,,,,,,,"Anadarko, OK Urban Cluster",6287,2396,266,2760,54,17,197,597,193,404,"Anadarko, OK Urban Cluster",124,333,117,461,28,26,126,257,155,233
"G02278","2006-2010",,,,,,,,,,,,,,,,,,,,,"Anamosa, IA Urban Cluster","02278",,,,,,,,,,,"Anamosa, IA Urban Cluster",5679,5184,327,43,43,0,64,18,0,18,"Anamosa, IA Urban Cluster",99,153,91,44,28,99,43,22,99,22
"G02305","2006-2010",,,,,,,,,,,,,,,,,,,,,"Anchorage, AK Urbanized Area","02305",,,,,,,,,,,"Anchorage, AK Urbanized Area",244013,158016,14569,17327,19979,4913,5052,24157,1174,22983,"Anchorage, AK Urbanized Area",962,1156,732,1164,901,281,639,1485,370,1405
"G02332","2006-2010",,,,,,,,,,,,,,,,,,,,,"Anchorage Northeast, AK Urban Cluster","02332",,,,,,,,,,,"Anchorage Northeast, AK Urban Cluster",26536,23163,343,545,454,97,296,1638,99,1539,"Anchorage Northeast, AK Urban Cluster",952,957,213,258,231,108,129,501,76,500
"G02359","2006-2010",,,,,,,,,,,,,,,,,,,,,"Andalusia, AL Urban Cluster","02359",,,,,,,,,,,"Andalusia, AL Urban Cluster",5532,3710,1387,0,188,0,127,120,0,120,"Andalusia, AL Urban Cluster",410,398,294,119,124,119,143,106,119,106
"G02386","2006-2010",,,,,,,,,,,,,,,,,,,,,"Anderson, IN Urbanized Area","02386",,,,,,,,,,,"Anderson, IN Urbanized Area",92546,78446,9143,111,425,7,1219,3195,272,2923,"Anderson, IN Urbanized Area",1098,1249,520,58,145,11,363,513,163,500
"G02413","2006-2010",,,,,,,,,,,,,,,,,,,,,"Anderson, SC Urbanized Area","02413",,,,,,,,,,,"Anderson, SC Urbanized Area",75139,53305,18764,125,610,14,870,1451,37,1414,"Anderson, SC Urbanized Area",1540,1254,923,82,184,24,312,362,43,353
"G02440","2006-2010",,,,,,,,,,,,,,,,,,,,,"Andrews, SC Urban Cluster","02440",,,,,,,,,,,"Andrews, SC Urban Cluster",4063,1779,1974,0,22,0,241,47,0,47,"Andrews, SC Urban Cluster",382,420,388,132,31,132,213,67,132,67
"G02467","2006-2010",,,,,,,,,,,,,,,,,,,,,"Andrews, TX Urban Cluster","02467",,,,,,,,,,,"Andrews, TX Urban Cluster",11878,9797,125,276,108,0,1266,306,109,197,"Andrews, TX Urban Cluster",315,585,86,248,28,127,452,172,133,101
"G02494","2006-2010",,,,,,,,,,,,,,,,,,,,,"Angels, CA Urban Cluster","02494",,,,,,,,,,,"Angels City, CA Urban Cluster",3101,2893,0,0,32,0,70,106,0,106,"Angels City, CA Urban Cluster",385,399,132,132,51,132,88,96,132,96
"G02521","2006-2010",,,,,,,,,,,,,,,,,,,,,"Angier, NC Urban Cluster","02521",,,,,,,,,,,"Angier, NC Urban Cluster",4204,2855,795,0,0,0,471,83,0,83,"Angier, NC Urban Cluster",149,350,277,127,127,127,247,77,127,77
"G02548","2006-2010",,,,,,,,,,,,,,,,,,,,,"Angola, IN Urban Cluster","02548",,,,,,,,,,,"Angola, IN Urban Cluster",9971,9150,46,0,30,0,159,586,17,569,"Angola, IN Urban Cluster",591,589,38,119,24,119,113,293,20,293
"G02575","2006-2010",,,,,,,,,,,,,,,,,,,,,"Anna, IL Urban Cluster","02575",,,,,,,,,,,"Anna, IL Urban Cluster",6603,6236,132,7,53,0,106,69,0,69,"Anna, IL Urban Cluster",367,393,124,10,66,119,115,50,119,50
"G02602","2006-2010",,,,,,,,,,,,,,,,,,,,,"Ann Arbor, MI Urbanized Area","02602",,,,,,,,,,,"Ann Arbor, MI Urbanized Area",292479,204685,46313,1009,25915,31,3600,10926,981,9945,"Ann Arbor, MI Urbanized Area",1136,1464,935,252,573,36,506,996,305,923
"G02629","2006-2010",,,,,,,,,,,,,,,,,,,,,"Anniston--Oxford, AL Urbanized Area","02629",,,,,,,,,,,"Anniston, AL Urbanized Area",75727,51784,20528,296,631,59,1426,1003,32,971,"Anniston, AL Urbanized Area",1338,1290,669,135,167,91,357,292,44,287
"G02656","2006-2010",,,,,,,,,,,,,,,,,,,,,"Antigo, WI Urban Cluster","02656",,,,,,,,,,,"Antigo, WI Urban Cluster",8516,8113,57,91,28,0,181,46,0,46,"Antigo, WI Urban Cluster",159,200,49,77,23,99,72,45,99,45
"G02683","2006-2010",,,,,,,,,,,,,,,,,,,,,"Antioch, CA Urbanized Area","02683",,,,,,,,,,,"Antioch, CA Urbanized Area",251114,135763,33394,1973,23635,2365,40651,13333,4434,8899,"Antioch, CA Urbanized Area",1587,3322,1843,504,1700,617,2603,1434,778,1186
"G02710","2006-2010",,,,,,,,,,,,,,,,,,,,,"Apalachicola, FL Urban Cluster","02710",,,,,,,,,,,"Apalachicola, FL Urban Cluster",2926,1960,920,10,36,0,0,0,0,0,"Apalachicola, FL Urban Cluster",426,352,347,17,59,136,136,136,136,136
"G02737","2006-2010",,,,,,,,,,,,,,,,,,,,,"Appleton, MN Urban Cluster","02737",,,,,,,,,,,"Appleton, MN Urban Cluster",2121,1789,260,36,13,0,14,9,0,9,"Appleton, MN Urban Cluster",201,174,84,23,16,93,15,10,93,10
"G02764","2006-2010",,,,,,,,,,,,,,,,,,,,,"Appleton, WI Urbanized Area","02764",,,,,,,,,,,"Appleton, WI Urbanized Area",191656,177585,1565,1157,6226,0,2179,2944,381,2563,"Appleton, WI Urbanized Area",1040,1331,287,312,519,99,530,422,150,413
